id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,descuento,metodo_pago,canal_venta
51,2024-07-16,316,81,4,3851834,15,Tarjeta Débito,WhatsApp
52,2024-05-03,17,26,5,3919196,0,Transferencia,Marketplace
53,2025-09-01,274,11,3,4597473,10,Transferencia,Marketplace
54,2024-07-15,245,16,2,3834068,0,PSE,Marketplace
55,2026-05-05,256,48,4,1836632,15,Tarjeta Débito,WhatsApp
56,2026-03-24,439,12,3,4548008,0,Tarjeta Crédito,Página Web
57,2025-10-10,113,5,4,2037450,0,PSE,WhatsApp
58,2025-12-06,130,51,5,1470311,0,Transferencia,WhatsApp
59,2025-08-30,431,13,4,1099700,10,Tarjeta Crédito,Marketplace
60,2025-03-05,216,28,2,1820471,10,Efectivo,Marketplace
61,2024-03-21,52,88,2,327418,0,Tarjeta Débito,Marketplace
62,2025-04-16,452,59,5,4942713,0,Tarjeta Crédito,Página Web
63,2026-02-09,224,22,3,1332742,5,Tarjeta Crédito,Página Web
64,2025-11-12,91,26,5,3919196,10,PSE,Página Web
65,2024-05-22,67,18,4,4048802,0,Transferencia,Marketplace
66,2025-06-30,212,71,2,4354774,0,Efectivo,Tienda Física
67,2025-03-18,76,18,2,4048802,0,Efectivo,Tienda Física
68,2024-11-12,39,51,4,1470311,5,Efectivo,Marketplace
69,2025-03-31,50,51,1,1470311,10,Efectivo,WhatsApp
70,2024-08-24,295,42,1,4291328,15,Transferencia,Página Web
71,2026-03-24,144,32,4,3905864,0,Tarjeta Débito,Página Web
72,2026-05-23,446,54,1,4262489,0,Efectivo,WhatsApp
73,2024-03-23,458,34,5,838602,0,Transferencia,Tienda Física
74,2025-12-03,345,4,3,714960,20,Tarjeta Débito,Tienda Física
75,2025-10-31,483,22,2,1332742,0,PSE,WhatsApp
76,2025-09-12,389,43,4,1138328,0,Tarjeta Débito,Marketplace
77,2025-08-02,205,34,4,838602,0,PSE,Marketplace
78,2024-07-01,303,73,5,1083463,0,Tarjeta Débito,Tienda Física
79,2025-08-17,215,58,2,1290260,0,Efectivo,Marketplace
80,2024-01-10,83,52,5,3019382,5,Tarjeta Débito,Marketplace
81,2025-11-06,331,100,3,3105751,10,Efectivo,WhatsApp
82,2024-10-14,128,85,1,795244,0,PSE,Tienda Física
83,2025-11-19,420,17,3,1464736,0,Transferencia,WhatsApp
84,2025-09-28,308,57,1,1980185,0,Tarjeta Débito,WhatsApp
85,2025-04-20,330,50,3,2758077,5,Tarjeta Crédito,Marketplace
86,2025-10-27,25,93,4,1694686,0,Efectivo,Tienda Física
87,2024-04-30,450,5,5,2037450,0,Transferencia,WhatsApp
88,2024-08-24,109,69,1,3996367,10,PSE,Página Web
89,2026-01-08,214,92,3,2217151,5,Tarjeta Débito,Marketplace
90,2025-04-06,279,74,1,2013299,0,Tarjeta Crédito,Página Web
91,2025-08-09,122,69,3,3996367,20,Tarjeta Crédito,Página Web
92,2024-09-02,184,81,4,3851834,15,Efectivo,Tienda Física
93,2025-11-08,423,50,2,2758077,0,Transferencia,WhatsApp
94,2025-12-01,389,1,5,2164957,5,Tarjeta Crédito,WhatsApp
95,2024-12-26,499,5,2,2037450,0,Tarjeta Crédito,Tienda Física
96,2025-05-30,428,27,5,3381540,0,PSE,Tienda Física
97,2025-07-27,333,22,2,1332742,0,PSE,Tienda Física
98,2024-11-28,30,1,3,2164957,10,Transferencia,Marketplace
99,2024-10-13,391,93,5,1694686,0,Efectivo,Marketplace
100,2025-09-09,54,63,2,2757403,20,Tarjeta Débito,WhatsApp
101,2026-05-20,322,35,4,3267646,15,Efectivo,Página Web
102,2024-02-19,415,27,1,3381540,5,Tarjeta Débito,Página Web
103,2024-05-09,209,75,5,3197969,15,Efectivo,Tienda Física
104,2024-05-06,230,98,4,3053445,0,Transferencia,WhatsApp
105,2025-09-05,250,67,1,1860613,0,PSE,Tienda Física
106,2024-11-26,498,43,3,1138328,10,PSE,Página Web
107,2025-07-05,224,39,2,4689225,10,Transferencia,Marketplace
108,2025-09-04,427,31,1,451193,10,Tarjeta Crédito,Marketplace
109,2025-04-21,350,35,3,3267646,5,Transferencia,Marketplace
110,2026-01-07,405,96,5,2292397,0,Tarjeta Débito,Tienda Física
111,2026-04-23,243,67,3,1860613,20,Tarjeta Crédito,Marketplace
112,2024-12-29,259,75,2,3197969,0,Tarjeta Débito,Tienda Física
113,2024-08-28,342,44,2,2029985,0,Tarjeta Débito,Página Web
114,2024-08-06,67,77,1,1311330,0,Tarjeta Débito,Página Web
115,2024-08-19,77,100,1,3105751,0,Transferencia,Marketplace
116,2024-10-24,36,5,2,2037450,15,Efectivo,WhatsApp
117,2025-11-07,487,63,4,2757403,20,Efectivo,Tienda Física
118,2025-05-25,103,74,3,2013299,15,Efectivo,WhatsApp
119,2024-06-29,168,92,5,2217151,0,Transferencia,Tienda Física
120,2025-11-01,378,85,5,795244,0,Transferencia,WhatsApp
121,2026-04-07,352,43,3,1138328,0,PSE,WhatsApp
122,2024-05-03,210,17,4,1464736,15,Tarjeta Débito,WhatsApp
123,2024-03-10,290,80,1,1604369,5,Efectivo,WhatsApp
124,2025-04-15,469,9,1,962964,20,PSE,Marketplace
125,2025-11-19,461,88,3,327418,15,PSE,Página Web
126,2024-10-16,193,70,1,4073868,20,Transferencia,Página Web
127,2025-09-08,456,71,4,4354774,10,Tarjeta Crédito,Página Web
128,2025-10-07,345,91,2,635249,20,Transferencia,Tienda Física
129,2026-03-04,474,92,3,2217151,20,Tarjeta Crédito,Página Web
130,2026-04-09,302,54,1,4262489,0,PSE,Tienda Física
131,2024-10-10,337,94,1,3952690,0,Efectivo,Página Web
132,2025-04-14,459,53,3,548491,15,Efectivo,Página Web
133,2025-11-14,324,26,3,3919196,5,Efectivo,Tienda Física
134,2024-03-28,449,17,1,1464736,0,Transferencia,Página Web
135,2025-07-21,365,34,3,838602,15,Tarjeta Crédito,Tienda Física
136,2025-09-04,450,55,4,1282188,0,Transferencia,Tienda Física
137,2025-01-21,10,100,2,3105751,0,Efectivo,Marketplace
138,2024-04-27,41,60,3,1760690,20,Efectivo,Marketplace
139,2024-03-16,99,62,5,2445468,20,Tarjeta Débito,Tienda Física
140,2024-07-01,259,73,5,1083463,0,Tarjeta Crédito,Tienda Física
141,2025-10-31,252,34,4,838602,10,PSE,Tienda Física
142,2024-09-06,141,31,1,451193,0,Efectivo,Tienda Física
143,2024-02-13,491,14,2,3875208,0,Tarjeta Débito,Tienda Física
144,2024-01-03,433,53,3,548491,0,Efectivo,Tienda Física
145,2026-05-09,122,5,4,2037450,15,Efectivo,Página Web
146,2024-03-15,436,27,5,3381540,0,Tarjeta Débito,Página Web
147,2026-01-08,63,5,3,2037450,0,Tarjeta Crédito,Página Web
148,2024-01-23,31,27,3,3381540,20,Tarjeta Débito,WhatsApp
149,2026-02-09,229,81,1,3851834,0,PSE,WhatsApp
150,2024-12-18,45,94,5,3952690,5,Tarjeta Crédito,WhatsApp
151,2024-04-22,76,75,1,3197969,0,PSE,WhatsApp
152,2024-11-25,271,34,4,838602,0,Tarjeta Débito,Página Web
153,2025-03-21,56,3,3,3672960,0,PSE,Marketplace
154,2024-01-12,77,31,3,451193,0,Tarjeta Crédito,Página Web
155,2024-12-25,284,17,5,1464736,0,Tarjeta Débito,Tienda Física
156,2025-02-15,109,89,2,350966,10,Tarjeta Crédito,Página Web
157,2026-03-30,74,88,5,327418,0,Transferencia,Página Web
158,2024-01-18,326,41,4,2136354,0,PSE,Página Web
159,2024-06-13,393,37,1,1648323,15,PSE,WhatsApp
160,2024-06-01,164,51,3,1470311,10,PSE,Tienda Física
161,2024-08-06,315,12,5,4548008,5,PSE,WhatsApp
162,2024-03-25,310,70,3,4073868,0,Efectivo,WhatsApp
163,2024-11-25,357,38,5,3547481,10,PSE,Tienda Física
164,2025-03-31,138,87,3,4184622,0,Transferencia,Marketplace
165,2026-05-16,89,21,5,4013212,15,Tarjeta Débito,Tienda Física
166,2026-01-27,128,78,4,895758,15,Efectivo,Marketplace
167,2024-02-12,342,68,4,1842024,20,Transferencia,Tienda Física
168,2025-02-25,123,47,2,2140666,15,PSE,Tienda Física
169,2025-10-03,302,56,1,3584838,20,Efectivo,Marketplace
170,2025-12-08,16,54,1,4262489,0,Transferencia,Marketplace
171,2025-03-03,491,77,3,1311330,0,Transferencia,Página Web
172,2025-07-02,184,94,2,3952690,0,Tarjeta Crédito,Tienda Física
173,2025-02-07,97,41,3,2136354,0,Tarjeta Débito,Marketplace
174,2024-11-22,128,58,4,1290260,20,Efectivo,WhatsApp
175,2026-01-26,334,43,5,1138328,0,Transferencia,Tienda Física
176,2026-03-31,73,90,3,3591086,15,Transferencia,Página Web
177,2026-04-08,223,2,1,3555359,20,Tarjeta Débito,Página Web
178,2025-07-10,178,48,5,1836632,5,PSE,Página Web
179,2024-09-10,191,76,2,3281679,0,PSE,WhatsApp
180,2025-08-02,255,40,4,1325409,5,Transferencia,Tienda Física
181,2024-04-30,12,35,2,3267646,20,PSE,WhatsApp
182,2025-11-23,457,7,5,4560009,0,PSE,Marketplace
183,2025-07-03,234,77,2,1311330,0,Efectivo,Página Web
184,2024-08-14,26,36,1,1076765,15,Tarjeta Débito,Página Web
185,2024-03-06,222,90,2,3591086,0,Tarjeta Crédito,Página Web
186,2026-04-20,37,50,4,2758077,0,Tarjeta Débito,Página Web
187,2026-03-14,107,58,4,1290260,0,PSE,Página Web
188,2024-02-06,393,39,4,4689225,5,PSE,Tienda Física
189,2025-09-26,208,47,1,2140666,15,Transferencia,Tienda Física
190,2024-02-21,126,16,4,3834068,10,Transferencia,WhatsApp
191,2025-03-05,276,58,3,1290260,0,PSE,Página Web
192,2025-11-11,377,61,5,1040165,20,PSE,Marketplace
193,2024-07-11,315,88,4,327418,5,Efectivo,WhatsApp
194,2025-05-23,425,100,3,3105751,0,Transferencia,WhatsApp
195,2024-01-26,92,59,5,4942713,0,Transferencia,Tienda Física
196,2026-02-05,164,25,5,890972,0,Tarjeta Crédito,Marketplace
197,2026-04-11,211,49,1,4297587,0,Transferencia,Página Web
198,2025-02-27,183,19,1,3789305,0,PSE,Marketplace
199,2024-03-11,119,33,5,4335187,0,Tarjeta Crédito,Marketplace
200,2024-09-18,206,47,3,2140666,0,Efectivo,Tienda Física
201,2024-12-04,152,100,5,3105751,0,Tarjeta Débito,Marketplace
202,2024-06-29,207,5,4,2037450,5,Tarjeta Débito,WhatsApp
203,2026-05-12,259,52,3,3019382,0,Transferencia,Marketplace
204,2026-03-29,373,18,2,4048802,10,Tarjeta Crédito,WhatsApp
205,2025-05-01,345,32,5,3905864,20,PSE,Tienda Física
206,2024-08-18,322,18,2,4048802,20,Tarjeta Débito,Marketplace
207,2024-12-08,165,22,3,1332742,0,Tarjeta Crédito,Tienda Física
208,2024-02-27,201,49,3,4297587,10,Tarjeta Débito,Tienda Física
209,2024-02-05,108,28,3,1820471,20,Tarjeta Crédito,WhatsApp
210,2025-05-31,175,13,1,1099700,20,Transferencia,WhatsApp
211,2026-05-28,151,48,3,1836632,15,Efectivo,Página Web
212,2024-05-08,281,15,4,4265569,15,Tarjeta Débito,Marketplace
213,2024-11-07,463,18,3,4048802,15,Efectivo,Página Web
214,2024-05-23,57,20,2,1796766,20,Transferencia,Marketplace
215,2024-05-15,51,8,2,506538,10,Tarjeta Débito,WhatsApp
216,2025-04-08,314,43,5,1138328,20,Tarjeta Crédito,Página Web
217,2024-10-29,242,70,1,4073868,10,Efectivo,Marketplace
218,2024-07-24,304,84,3,2755569,5,Tarjeta Crédito,Tienda Física
219,2024-09-30,16,2,4,3555359,5,Efectivo,Marketplace
220,2025-07-09,391,55,1,1282188,5,PSE,Marketplace
221,2025-11-25,354,88,5,327418,0,Tarjeta Crédito,Tienda Física
222,2026-03-03,335,77,2,1311330,20,Tarjeta Débito,Tienda Física
223,2026-01-01,186,79,5,3804446,0,Transferencia,Marketplace
224,2024-10-11,261,97,2,144092,10,PSE,Marketplace
225,2024-01-05,201,69,3,3996367,15,Efectivo,WhatsApp
226,2024-05-25,326,93,2,1694686,5,Transferencia,Página Web
227,2025-12-09,210,62,4,2445468,0,Transferencia,Página Web
228,2024-06-19,393,49,5,4297587,15,PSE,Tienda Física
229,2024-11-25,396,78,1,895758,15,PSE,WhatsApp
230,2024-05-20,425,86,3,3212628,0,Tarjeta Débito,Página Web
231,2026-03-10,397,54,2,4262489,0,Transferencia,WhatsApp
232,2026-04-30,469,2,5,3555359,0,PSE,Página Web
233,2024-04-25,406,36,3,1076765,0,Efectivo,Página Web
234,2026-05-26,190,20,5,1796766,0,Tarjeta Débito,WhatsApp
235,2024-04-24,52,29,5,2261412,0,Transferencia,WhatsApp
236,2025-07-13,363,98,5,3053445,0,Tarjeta Crédito,Tienda Física
237,2024-06-21,325,20,3,1796766,20,Efectivo,Tienda Física
238,2026-03-30,465,26,2,3919196,20,Tarjeta Débito,Marketplace
239,2026-05-09,256,54,3,4262489,5,PSE,Página Web
240,2024-05-03,288,93,5,1694686,0,Efectivo,Página Web
241,2024-06-07,358,80,4,1604369,5,Tarjeta Débito,Tienda Física
242,2024-03-03,377,19,1,3789305,15,Efectivo,Página Web
243,2025-11-16,487,6,5,4854910,0,Tarjeta Débito,Página Web
244,2024-03-18,437,90,3,3591086,15,Tarjeta Débito,Tienda Física
245,2024-02-24,340,8,3,506538,20,Efectivo,WhatsApp
246,2024-01-04,33,25,1,890972,0,Transferencia,Página Web
247,2025-05-05,266,71,4,4354774,0,Transferencia,Página Web
248,2025-04-23,10,69,3,3996367,15,Tarjeta Crédito,Marketplace
249,2025-09-03,235,16,4,3834068,0,Tarjeta Crédito,WhatsApp
250,2025-05-24,287,21,4,4013212,0,Tarjeta Débito,WhatsApp
251,2025-01-23,108,48,3,1836632,10,Transferencia,Marketplace
252,2025-12-23,389,35,5,3267646,0,Tarjeta Crédito,Página Web
253,2025-10-13,344,65,1,618120,0,Efectivo,Tienda Física
254,2024-03-02,292,8,5,506538,0,Tarjeta Crédito,Marketplace
255,2025-09-04,191,68,3,1842024,15,Efectivo,Tienda Física
256,2024-04-28,45,75,1,3197969,10,Transferencia,WhatsApp
257,2024-09-18,364,32,2,3905864,10,Tarjeta Débito,Tienda Física
258,2024-12-21,206,28,3,1820471,0,Tarjeta Débito,WhatsApp
259,2025-08-15,305,27,1,3381540,15,PSE,Marketplace
260,2025-12-15,34,51,4,1470311,0,Tarjeta Débito,Página Web
261,2025-08-29,474,97,4,144092,0,PSE,Página Web
262,2024-02-25,4,48,1,1836632,0,Tarjeta Crédito,Página Web
263,2024-04-16,208,48,2,1836632,20,Tarjeta Débito,Página Web
264,2024-02-21,321,73,4,1083463,15,Tarjeta Crédito,Página Web
265,2025-02-23,445,8,3,506538,10,Efectivo,WhatsApp
266,2025-09-06,449,3,3,3672960,0,PSE,Tienda Física
267,2026-03-02,167,40,1,1325409,0,Tarjeta Débito,WhatsApp
268,2025-08-15,343,14,1,3875208,5,Tarjeta Crédito,Marketplace
269,2026-05-29,310,54,5,4262489,0,Efectivo,Marketplace
270,2025-09-30,257,55,3,1282188,20,Tarjeta Crédito,WhatsApp
271,2025-12-29,430,29,5,2261412,0,Tarjeta Débito,Página Web
272,2024-04-21,255,8,3,506538,15,Transferencia,Página Web
273,2025-06-03,175,68,1,1842024,5,PSE,WhatsApp
274,2026-04-11,37,70,4,4073868,0,Tarjeta Crédito,WhatsApp
275,2025-07-14,36,39,5,4689225,15,Tarjeta Débito,Página Web
276,2024-07-29,455,11,4,4597473,20,Tarjeta Débito,Marketplace
277,2024-07-29,283,76,2,3281679,5,PSE,WhatsApp
278,2025-09-01,71,48,2,1836632,0,Efectivo,WhatsApp
279,2025-03-14,319,45,4,1843572,0,Efectivo,Página Web
280,2025-03-13,297,2,3,3555359,0,Efectivo,WhatsApp
281,2024-11-12,154,52,5,3019382,0,Tarjeta Crédito,WhatsApp
282,2025-06-02,104,22,4,1332742,0,Efectivo,Marketplace
283,2026-02-26,464,57,4,1980185,0,Efectivo,Marketplace
284,2025-10-20,455,9,4,962964,0,Efectivo,Página Web
285,2026-02-15,129,15,2,4265569,15,Transferencia,Tienda Física
286,2026-01-15,273,5,1,2037450,5,Transferencia,Tienda Física
287,2026-05-22,357,76,5,3281679,0,Transferencia,WhatsApp
288,2025-05-22,56,52,3,3019382,0,Transferencia,Página Web
289,2025-03-29,219,76,4,3281679,15,Tarjeta Débito,WhatsApp
290,2024-06-14,338,17,4,1464736,0,Efectivo,Página Web
291,2026-03-01,116,2,5,3555359,20,PSE,WhatsApp
292,2025-02-08,366,72,3,1635665,0,Tarjeta Crédito,Página Web
293,2026-04-15,364,46,3,165255,0,Tarjeta Crédito,WhatsApp
294,2026-05-28,294,37,5,1648323,0,PSE,Tienda Física
295,2026-02-19,500,5,3,2037450,20,Tarjeta Débito,Marketplace
296,2025-05-05,456,78,2,895758,0,Efectivo,WhatsApp
297,2025-02-24,356,98,3,3053445,10,PSE,Tienda Física
298,2024-05-05,413,50,2,2758077,10,Tarjeta Débito,Página Web
299,2024-12-04,424,1,3,2164957,0,Transferencia,Marketplace
300,2024-01-07,25,10,4,1728534,0,Tarjeta Débito,Tienda Física
301,2024-03-24,459,14,2,3875208,5,PSE,Tienda Física
302,2024-02-04,383,71,5,4354774,20,Efectivo,Página Web
303,2024-08-25,143,73,5,1083463,0,Tarjeta Débito,Tienda Física
304,2024-12-02,402,14,4,3875208,0,Transferencia,Página Web
305,2025-10-27,270,55,4,1282188,0,Efectivo,WhatsApp
306,2024-06-25,28,26,5,3919196,5,PSE,Marketplace
307,2025-10-13,136,68,5,1842024,0,Tarjeta Crédito,Tienda Física
308,2024-05-15,91,3,1,3672960,15,Tarjeta Crédito,WhatsApp
309,2024-02-10,56,13,2,1099700,10,Tarjeta Crédito,Página Web
310,2024-05-07,63,98,2,3053445,10,PSE,Marketplace
311,2025-10-29,149,18,1,4048802,5,Tarjeta Crédito,WhatsApp
312,2026-04-23,285,1,1,2164957,0,PSE,Tienda Física
313,2026-05-21,415,93,1,1694686,20,Efectivo,Página Web
314,2024-11-18,120,56,3,3584838,0,Efectivo,Página Web
315,2025-02-24,288,5,5,2037450,0,Tarjeta Débito,Tienda Física
316,2025-09-16,311,6,4,4854910,0,Transferencia,Marketplace
317,2024-05-20,339,74,2,2013299,10,Tarjeta Crédito,Página Web
318,2025-03-02,462,64,3,3846738,15,Tarjeta Crédito,Página Web
319,2024-04-17,421,89,4,350966,5,Tarjeta Crédito,WhatsApp
320,2025-12-30,424,35,2,3267646,0,PSE,Tienda Física
321,2025-07-24,16,83,4,1895435,0,Transferencia,Marketplace
322,2025-03-19,474,62,3,2445468,0,Efectivo,Página Web
323,2024-02-26,333,81,1,3851834,10,Efectivo,WhatsApp
324,2025-03-21,208,11,4,4597473,20,Tarjeta Crédito,Página Web
325,2024-12-07,155,33,4,4335187,0,Transferencia,Marketplace
326,2024-09-02,436,5,4,2037450,20,Tarjeta Crédito,Tienda Física
327,2026-05-04,238,88,5,327418,0,Tarjeta Débito,WhatsApp
328,2026-02-01,162,36,5,1076765,10,Efectivo,Marketplace
329,2024-03-16,484,84,1,2755569,0,Tarjeta Débito,Marketplace
330,2024-08-06,84,51,2,1470311,20,PSE,Página Web
331,2026-02-12,430,42,5,4291328,20,Tarjeta Crédito,Página Web
332,2024-01-14,486,11,2,4597473,0,Tarjeta Crédito,Página Web
333,2024-04-24,187,35,5,3267646,0,Transferencia,Página Web
334,2024-11-03,435,3,3,3672960,0,PSE,Página Web
335,2025-08-10,316,64,5,3846738,0,Tarjeta Crédito,Marketplace
336,2025-06-30,421,80,3,1604369,10,Tarjeta Débito,Página Web
337,2024-05-10,114,80,4,1604369,0,Transferencia,Marketplace
338,2025-08-08,215,21,2,4013212,15,Tarjeta Débito,Página Web
339,2024-12-05,232,93,2,1694686,0,Efectivo,Página Web
340,2025-10-26,193,42,3,4291328,0,Transferencia,Tienda Física
341,2024-11-21,241,29,4,2261412,0,Efectivo,WhatsApp
342,2025-05-27,106,91,3,635249,0,Transferencia,Tienda Física
343,2026-02-23,383,25,5,890972,0,PSE,Marketplace
344,2025-06-25,144,76,1,3281679,0,Efectivo,Tienda Física
345,2024-02-02,187,35,2,3267646,5,Tarjeta Crédito,Marketplace
346,2024-07-16,404,35,1,3267646,20,Transferencia,WhatsApp
347,2024-02-28,65,29,3,2261412,0,Tarjeta Débito,WhatsApp
348,2025-12-04,455,46,5,165255,15,Transferencia,Página Web
349,2025-07-15,151,91,1,635249,20,Tarjeta Crédito,WhatsApp
350,2025-02-04,440,49,1,4297587,0,Tarjeta Débito,WhatsApp
351,2025-04-09,46,29,4,2261412,10,Tarjeta Crédito,Marketplace
352,2024-09-15,359,59,2,4942713,0,Transferencia,Tienda Física
353,2024-04-26,151,51,4,1470311,0,Tarjeta Débito,Marketplace
354,2024-04-11,390,87,2,4184622,20,Tarjeta Crédito,Página Web
355,2024-11-29,278,100,2,3105751,0,Transferencia,Tienda Física
356,2024-11-13,351,27,2,3381540,15,Tarjeta Crédito,Tienda Física
357,2025-06-13,402,45,3,1843572,20,Transferencia,WhatsApp
358,2026-02-23,473,76,3,3281679,20,Efectivo,Página Web
359,2024-04-30,52,94,5,3952690,5,Efectivo,Página Web
360,2024-01-08,114,73,1,1083463,10,Tarjeta Crédito,Marketplace
361,2024-07-11,54,76,2,3281679,0,Transferencia,Página Web
362,2025-07-05,366,19,2,3789305,5,Tarjeta Débito,WhatsApp
363,2026-02-20,98,24,3,4728140,20,PSE,Tienda Física
364,2024-11-04,1,64,3,3846738,0,Transferencia,WhatsApp
365,2024-12-11,226,2,2,3555359,5,Tarjeta Crédito,Tienda Física
366,2024-06-07,379,82,4,4046034,15,PSE,WhatsApp
367,2025-11-20,119,83,4,1895435,15,Transferencia,Tienda Física
368,2025-08-01,285,24,5,4728140,10,Tarjeta Débito,Página Web
369,2025-02-07,106,5,4,2037450,0,Tarjeta Crédito,WhatsApp
370,2024-02-14,337,48,2,1836632,0,Transferencia,Tienda Física
371,2025-11-13,240,10,2,1728534,0,Tarjeta Débito,Marketplace
372,2024-07-15,152,53,4,548491,20,Tarjeta Crédito,Tienda Física
373,2024-10-18,266,90,4,3591086,0,Tarjeta Crédito,Marketplace
374,2024-10-27,61,10,1,1728534,0,Tarjeta Crédito,Tienda Física
375,2024-01-16,262,67,5,1860613,0,Tarjeta Débito,Tienda Física
376,2024-04-09,187,49,5,4297587,5,PSE,Página Web
377,2025-06-27,321,96,5,2292397,5,PSE,WhatsApp
378,2026-01-31,348,38,3,3547481,0,Efectivo,Marketplace
379,2026-04-23,133,4,5,714960,0,Tarjeta Débito,Tienda Física
380,2025-06-27,162,1,2,2164957,20,Transferencia,Página Web
381,2025-10-01,357,3,2,3672960,15,PSE,Página Web
382,2026-05-05,62,50,2,2758077,5,PSE,Marketplace
383,2025-07-15,394,62,5,2445468,0,Efectivo,Tienda Física
384,2024-10-05,146,28,5,1820471,15,Tarjeta Débito,Página Web
385,2025-11-06,438,82,2,4046034,5,Tarjeta Débito,Marketplace
386,2024-04-24,172,20,2,1796766,10,Tarjeta Débito,WhatsApp
387,2024-12-24,246,63,3,2757403,15,PSE,Marketplace
388,2025-04-01,97,93,2,1694686,0,Transferencia,Tienda Física
389,2026-03-08,107,22,3,1332742,0,Efectivo,Página Web
390,2024-04-13,265,45,4,1843572,0,Tarjeta Débito,WhatsApp
391,2024-11-14,175,39,1,4689225,0,Tarjeta Débito,Tienda Física
392,2025-09-16,177,19,1,3789305,15,Efectivo,Página Web
393,2024-10-13,193,34,5,838602,15,Efectivo,Marketplace
394,2026-02-27,118,47,1,2140666,0,Efectivo,Página Web
395,2024-11-19,451,98,3,3053445,15,Efectivo,WhatsApp
396,2024-01-25,439,4,3,714960,15,Tarjeta Débito,Página Web
397,2024-02-16,388,23,2,3575970,0,Tarjeta Crédito,Marketplace
398,2025-07-30,492,1,1,2164957,15,Transferencia,Marketplace
399,2025-07-16,295,2,5,3555359,20,Transferencia,Tienda Física
400,2025-09-13,10,66,2,2139371,0,PSE,Página Web
401,2024-01-31,344,79,2,3804446,0,PSE,Marketplace
402,2026-05-30,495,88,4,327418,0,Tarjeta Crédito,WhatsApp
403,2024-01-16,232,72,3,1635665,0,PSE,Página Web
